,房屋户型,房屋套内面积,房屋朝向,装修情况,所在楼层,建筑时间,建筑类型,房屋标题,房屋所在位置,房屋总价,房屋单价,采集时间
32,3室2厅,92.65平米,南 北,简装,低楼层(共35层),2007年建,塔楼,本房满五唯一税费低，刚装修厨房，户型方正，南北对流,天马丽苑二期    -  旧区 ,155,"16,730元/平",2022/4/30
33,2室1厅,80.6平米,东北,简装,中楼层(共11层),2000年建,塔楼,丽江花园电梯两房  户型方正  双阳台  交通便利,丽江花园九如通津    -  南浦 ,268,"33,251元/平",2022/4/30
34,3室2厅,92.11平米,北,精装,低楼层(共19层),2005年建,塔楼,花样年华一期 单证 户型方正 三房两卫,番禺海伦堡花样年华一期    -  桥南 ,245,"26,599元/平",2022/4/30
35,3室1厅,89.95平米,东南,其他,中楼层(共7层),1998年建,塔楼,禺华园 3室1厅 东南,禺华园    -  市桥 ,190,"21,123元/平",2022/4/30
36,3室1厅,85.42平米,南,简装,中楼层(共6层),2000年建,塔楼,光大一期 南向安静3房 采光充足,光大花园    -  工业大道北 ,507,"59,354元/平",2022/4/30
37,3室1厅,99平米,南,毛坯,低楼层(共18层),2015年建,塔楼,荔富湖畔 3室1厅 南,荔富湖畔    -  朱村 ,150,"15,152元/平",2022/4/30
38,3室1厅,62.04平米,东,精装,低楼层(共9层),1990年建,塔楼,东风西低层实用三房，过五年无增值税。,百灵路    -  西门口 ,276,"44,488元/平",2022/4/30
39,3室1厅,75.78平米,南 西 北,简装,中楼层(共8层) ,,塔楼,原小北 大院管理  环境安静 采光充足 视野宽阔,应元路    -  小北 ,580,"76,538元/平",2022/4/30
40,2室1厅,74.55平米,东北,精装,低楼层(共32层),2015年建,塔楼,满五年没有按揭    装修保养好    诚心卖可以谈,敏捷锦绣天伦    -  新塘北 ,152,"20,390元/平",2022/4/30
41,3室2厅,90.43平米,南,简装,高楼层(共7层) ,,暂无数据,建设北路总架低户型方正采光充足拎包入住南向房大厅大,建设北路    -  旧区 ,68,"7,520元/平",2022/4/30
42,3室2厅,72平米,南,精装,低楼层(共9层),1992年建,塔楼,新凤凰后街1-5号大院3-2-1-1,新凤凰后街1-5号大院    -  滨江东 ,278,"38,612元/平",2022/4/30
43,3室2厅,141.12平米,东北,精装,中楼层(共33层),2012年建,塔楼,地铁五号线 高层大三房 南北对流一线江景 西关培正,新世界凯粤湾    -  滘口 ,718,"50,879元/平",2022/4/30
44,7室2厅,230.2平米,东南,简装,高楼层(共8层),2000年建,塔楼,小区安静舒适，适合老人家自住，也适合刚需小年轻。,金城花园    -  大石 ,385,"16,725元/平",2022/4/30
45,3室1厅,63.78平米,东北,精装,低楼层(共34层) ,,板楼,万科尚城实用三房 楼年新 配套齐全 望花园,万科尚城    -  夏园 ,265,"41,550元/平",2022/4/30
46,3室2厅,102.1平米,南 北,简装,高楼层(共16层),2005年建,塔楼,柏蕙花园二期 高层三房带主套 视野开阔 看房方便,柏蕙花园    -  滨江东 ,640,"62,684元/平",2022/4/30
47,2室1厅,34.01平米,北,精装,中楼层(共22层),2016年建,塔楼,房子装修保养好，业主诚心放卖，格局方正 ，交通便利,黄埔万科中心    -  文冲 ,73,"21,465元/平",2022/4/30
48,3室2厅,121.9平米,南,精装,中楼层(共6层) ,,塔楼,此房中间楼层，南北对流，户型方正，无抵押,新康花园    -  白江 ,172,"14,110元/平",2022/4/30
49,3室2厅,78.06平米,南,简装,高楼层(共7层) ,,塔楼,口岸公司宿舍楼 3室2厅 南,口岸公司宿舍楼    -  白江 ,88,"11,274元/平",2022/4/30
50,3室2厅,112.23平米,南,毛坯,中楼层(共15层),2013年建,塔楼,巧克力 毛坯 大三房 业主诚心放,太阳城巧克力    -  永和 ,150,"13,366元/平",2022/4/30
51,2室1厅,74.18平米,东北,精装,中楼层(共11层),2012年建,塔楼,地铁口两房，小高层住宅，精装修，采光视野好,新都盛世名门    -  白江 ,190,"25,614元/平",2022/4/30
52,5室2厅,144.43平米,西南,简装,高楼层(共6层) ,,板楼,碧桂园大户型 ，配套完善，环境宜人 上学方便,荔城碧桂园    -  荔城西区 ,180,"12,463元/平",2022/4/30
53,3室2厅,101.06平米,北,精装,中楼层(共27层),2014年建,塔楼,地铁口精装  标准三房  满五   户型方正   无按揭,金泽豪庭    -  白江 ,210,"20,780元/平",2022/4/30
54,2室1厅,88.97平米,南 北,精装,高楼层(共14层),2016年建,塔楼,13号线地铁白江站新景豪庭南北朝向两房，业主诚心放卖,新景豪庭    -  白江 ,170,"19,108元/平",2022/4/30
55,3室2厅,99.11平米,南,精装,高楼层(共31层),2016年建,塔楼,豪进广场精装3房，南向过五年省税，亲民的预算,碧桂园豪进广场    -  白江 ,237,"23,913元/平",2022/4/30
56,2室1厅,58.67平米,北,精装,中楼层(共18层) ,,塔楼,全新精装修 通风光线好。视野宽阔，交通便利近地铁,假日花园    -  白江 ,138,"23,522元/平",2022/4/30
57,2室1厅,59.92平米,北,精装,中楼层(共11层) ,,塔楼,新塘TOD旁，亚太银座二房，业主包税，精装修看房方便,亚太新城亚太银座一期    -  新塘北 ,142,"23,699元/平",2022/4/30
58,1室1厅,52.39平米,东,精装,中楼层(共28层),2014年建,塔楼,碧桂园凤凰城凤晴苑 1室1厅 东,碧桂园凤凰城凤晴苑    -  凤凰城 ,86,"16,416元/平",2022/4/30
59,3室1厅,91.65平米,东南,精装,高楼层(共18层),2009年建,塔楼,南向望花园，全新装修，楼层视野好,锦绣新天地    -  新塘南 ,170,"18,549元/平",2022/4/30
60,2室2厅,77.31平米,东北,精装,中楼层(共5层) ,,塔楼,漂亮楼层合理格局正规两房双阳台,新塘新世界花园嘉华苑    -  沙村 ,139,"17,980元/平",2022/4/30
61,3室2厅,90.2平米,东南 南,精装,中楼层(共32层),2016年建,塔楼,金泽豪庭东南向三房 全新未住 中层看花园采光好,金泽豪庭    -  白江 ,205,"22,728元/平",2022/4/30
62,3室1厅,96.79平米,北,简装,中楼层(共11层),2002年建,塔楼,凤馨苑 中高层 南北对流 标准三房2卫 保养新 采光好,碧桂园凤凰城凤馨苑    -  凤凰城 ,176,"18,184元/平",2022/4/30
63,3室1厅,105.26平米,南,精装,中楼层(共12层),2002年建,塔楼,荷塘月色  户型方正 产权清晰 看房方便 业主诚心出,白云高尔夫花园荷塘月色    -  黄石 ,210,"19,951元/平",2022/4/30
64,2室2厅,83.69平米,南,简装,低楼层(共18层),2011年建,塔楼,小区少有南向户型，好房视野宽阔采光好 税费低,时代倾城(增城区)    -  荔城增江 ,115,"13,742元/平",2022/4/30
65,2室1厅,73.12平米,西北,简装,中楼层(共11层),2006年建,塔楼,光大花园 满五 非唯一 小区管理 交通便利 楼龄新,光大花园    -  工业大道北 ,450,"61,543元/平",2022/4/30
66,3室2厅,79.56平米,南,简装,高楼层(共6层) ,,板楼,零分摊，实用率高，南北对流，地铁口物业，成熟大社区,水电二局宿舍    -  白江 ,112,"14,078元/平",2022/4/30
67,2室1厅,76.8平米,北,简装,低楼层(共32层),2015年建,塔楼,锦绣天伦两房，满五年，业主实在卖，看房方便,敏捷锦绣天伦    -  新塘北 ,146,"19,011元/平",2022/4/30
68,2室1厅,78.79平米,北,精装,中楼层(共18层),2012年建,塔楼,地铁口小区安静不吵，高楼层，阳台望小区花园，保养好,新塘新世界花园万象苑    -  沙村 ,179,"22,719元/平",2022/4/30
69,3室1厅,141.15平米,西南,精装,29层,2013年建,塔楼,白江地铁站精装复式三房三卫 。,东方名都    -  白江 ,308,"21,821元/平",2022/4/30
70,4室1厅,145.94平米,东,毛坯,中楼层(共20层),2010年建,板楼,大四房！带主套！视野开阔，格局方正，交通便利配套齐,海景居    -  河滨北路 ,170,"11,649元/平",2022/4/30
71,2室2厅,82.9平米,东北,精装,高楼层(共17层),2008年建,塔楼,海伦堡花园  大2房 证过5年 唯一物业 税费少,广州海伦堡    -  沙村 ,160,"19,301元/平",2022/4/30
72,4室1厅,156.15平米,北,精装,高楼层(共25层),2012年建,塔楼,房子满五唯一，精装修，户型方正，楼层好,锦绣新天地    -  新塘南 ,249,"15,947元/平",2022/4/30
73,6室2厅,535.23平米,南,精装,低楼层(共23层) ,,塔楼,石楼碧桂园 景观好 装修保养好 看房方便,石楼碧桂园    -  石楼 ,800,"14,947元/平",2022/4/30
74,3室2厅,135.6平米,南,精装,低楼层(共19层),2010年建,塔楼,东南朝向，户型漂亮，精装修，证够二,南华时代城    -  旧区 ,226,"16,667元/平",2022/4/30
75,4室2厅,147.51平米,东南,精装,低楼层(共18层) ,,塔楼,富力泉天下 带露台出卖 东南向户型 环境靓 空气好,富力泉天下    -  温泉镇 ,110,"7,458元/平",2022/4/30
76,3室2厅,95.31平米,南 北,简装,中楼层(共19层) ,,塔楼,近地铁 ，户型方正，南北通透格局，采光好。,恒福花园    -  中新镇 ,161,"16,893元/平",2022/4/30
77,3室2厅,85.02平米,东北,精装,高楼层(共32层),2018年建,塔楼,敏捷绿湖国际三期小3房，户型方正，房间大，采光好,广州敏捷绿湖首府三期    -  石滩镇 ,95,"11,174元/平",2022/4/30
78,3室2厅,105.97平米,东南,毛坯,中楼层(共24层),2002年建,塔楼,房子过5年唯一低税，中楼层，朝向好，业主诚心出。,碧桂园凤凰城凤锦苑    -  凤凰城 ,185,"17,458元/平",2022/4/30
79,2室1厅,82.86平米,南,毛坯,高楼层(共32层),2017年建,塔楼,非看不可！南向高层，看湖美景，不欠款，急卖，可谈J,金地香山湖    -  永和 ,103,"12,431元/平",2022/4/30
80,4室2厅,135平米,南,精装,高楼层(共24层),2002年建,塔楼,南北对流户型，高楼层视野四房，满五年省增值税,碧桂园凤凰城凤锦苑    -  凤凰城 ,259,"19,186元/平",2022/4/30
81,3室2厅,110.09平米,西南,精装,中楼层(共24层),2012年建,塔楼,莱茵水岸 业主工作升迁调动 地铁洋房 少有户型放卖。,莱茵水岸    -  江浦街 ,190,"17,259元/平",2022/4/30
82,3室1厅,93.77平米,南 北,简装,低楼层(共18层),2014年建,板塔结合,实用小三房满五省税，使用率高有大平台,景新国际名城    -  中新镇 ,140.2,"14,952元/平",2022/4/30
83,2室1厅,79.9平米,南,精装,中楼层(共17层),2013年建,塔楼,新塘TOD旁 精装高层南向大2房2卫 满五年唯一,亚太新城亚太银座一期    -  新塘北 ,168,"21,027元/平",2022/4/30
84,3室2厅,121.4平米,南 北,精装,中楼层(共6层) ,,塔楼,邻地铁 大三房 满五 全新精装房未入住,恒福花园    -  中新镇 ,168,"13,839元/平",2022/4/30
85,3室1厅,130.89平米,南 北,简装,高楼层(共26层),2009年建,塔楼,此房楼层佳，视野好，采光足，保养好，三大阳台,金泽豪庭    -  白江 ,255,"19,483元/平",2022/4/30
86,3室1厅,127.23平米,北,毛坯,中楼层(共23层),2006年建,塔楼,顺欣广场 全新毛坯 户型方正 阳台望园区,顺欣广场    -  新塘北 ,175,"13,755元/平",2022/4/30
87,3室2厅,114.94平米,南 北,精装,低楼层(共27层),2010年建,塔楼,金泽豪庭白江地铁800米，小区中间楼栋满五年无按揭,金泽豪庭    -  白江 ,240,"20,881元/平",2022/4/30
88,2室1厅,78.32平米,南,毛坯,中楼层(共31层),2016年建,塔楼,豪进广场 南向两房 户型方正 视野开阔,碧桂园豪进广场    -  白江 ,204,"26,047元/平",2022/4/30
89,3室2厅,79.06平米,东北,精装,中楼层(共22层),2012年建,板楼,新都盛世名门宏城汇 3室2厅 东北,新都盛世名门宏城汇    -  白江 ,165,"20,871元/平",2022/4/30
90,2室1厅,62.95平米,北,精装,中楼层(共11层),2016年建,塔楼,舒适电梯两房 全新未住 采光充足 户型方正,景新豪苑    -  新塘北 ,101,"16,045元/平",2022/4/30
91,3室2厅,102平米,东南,精装,中楼层(共9层) ,,塔楼,"大三房双阳台，客厅大, 全明屋",从化商贸城    -  江浦街 ,89,"8,726元/平",2022/4/30
92,3室1厅,122.79平米,东南 南,精装,低楼层(共32层),2017年建,塔楼,刚需大三房，户型方正，业主诚心出卖,广州敏捷绿湖首府二期    -  石滩镇 ,120,"9,773元/平",2022/4/30
93,3室2厅,97.8平米,南,精装,低楼层(共18层),2002年建,塔楼,凤凰城凤馨苑 南向采光亮堂  三房两卫适用户型  安静,碧桂园凤凰城凤馨苑    -  凤凰城 ,168,"17,178元/平",2022/4/30
94,3室2厅,95.94平米,南 北,精装,低楼层(共24层),2016年建,塔楼,森林半岛南向三房    精装修保养好   看房方便,翡翠绿洲森林半岛    -  凤凰城 ,190,"19,805元/平",2022/4/30
95,3室2厅,102平米,西北,精装,高楼层(共30层),2012年建,塔楼,地铁口精装三房  满五年税费少  高层 视野开阔,新都盛世名门    -  白江 ,223,"21,863元/平",2022/4/30
96,3室1厅,58.11平米,西 北,简装,低楼层(共7层) ,,塔楼,近地铁 全明3房 低楼层 封闭小区,广钢鹤翔小区鹤翔里    -  鹤洞 ,178,"30,632元/平",2022/4/30
97,2室1厅,69.81平米,东南,简装,低楼层(共15层),2009年建,塔楼,南岗地铁口 满五 地铁盘 户型方正东南向两房,富域尚品居    -  夏园 ,225,"32,231元/平",2022/4/30
98,3室1厅,65.02平米,南,精装,低楼层(共8层) ,,塔楼,应元路大院管理 框架机构 实用三房 带30方平台花园,应元路    -  小北 ,465,"71,517元/平",2022/4/30
99,3室1厅,83.33平米,南,简装,高楼层(共5层) ,,塔楼,旧证税费，挂绿广场地段，首付低，月供低。,挂绿街东一巷    -  荔城中区 ,46,"5,521元/平",2022/4/30
100,4室1厅,96.28平米,南,精装,低楼层(共32层) ,,塔楼,香柏华府 南北朝向 精装四房 望园景,君华香柏华府    -  沙湾 ,320,"33,237元/平",2022/4/30
101,2室1厅,39.5平米,北,其他,低楼层(共3层) ,,暂无数据,三堂路 2室1厅 北,三堂路    -  市桥 ,78,"19,747元/平",2022/4/30
102,4室1厅,120.06平米,南,精装,高楼层(共20层),2014年建,塔楼,新世界花园万象苑120方四房保养好看房方便,新塘新世界花园万象苑    -  沙村 ,315,"26,237元/平",2022/4/30
103,2室1厅,68.1平米,东南,精装,中楼层(共7层),1998年建,塔楼,东南向单边位，低层，装修保养好，拎包入住，近大门口,广州碧桂园华苑    -  南浦 ,225,"33,040元/平",2022/4/30
104,2室2厅,85.31平米,南 北,精装,4层,2006年建,板楼,南国奥园 南北通透双阳台两房 满五唯一 装修精致,南国奥林匹克花园    -  汉溪长隆 ,305,"35,752元/平",2022/4/30
105,3室2厅,83.3平米,东南 西南,其他,低楼层(共30层),2019年建,塔楼,俯瞰花园全景，视野开阔，全新未入住,佳兆业城市广场    -  沙村 ,275,"33,014元/平",2022/4/30
106,3室1厅,129.9平米,西北,精装,中楼层(共18层),2003年建,塔楼,户型方正，电梯高层，实用三房，人车分流小区,丽江花园左岸    -  南浦 ,398,"30,639元/平",2022/4/30
107,3室2厅,87.06平米,北,简装,高楼层(共7层),2004年建,板楼,东华花园一期视野开阔 高层带天台使用 有钥匙看房方便,东华花园    -  市桥东 ,265,"30,439元/平",2022/4/30
108,2室1厅,40.59平米,南 北,简装,中楼层(共9层),1997年建,塔楼,鹭江地铁 精装小两房 拎包入住 近江边 随时看房,鹭江富华楼    -  新港西 ,162,"39,912元/平",2022/4/30
109,3室1厅,123.8平米,东南,简装,高楼层(共8层) ,,塔楼,华侨城电梯8楼东南向，带100方的平台，满五年少税,华侨城(番禺)    -  市桥 ,256,"20,679元/平",2022/4/30
110,3室2厅,80.5平米,南,精装,低楼层(共6层) ,,板楼,建设北路 3室2厅 南,建设北路    -  旧区 ,88,"10,932元/平",2022/4/30
111,2室1厅,54.9平米,西南,精装,中楼层(共9层),1997年建,塔楼,客村地铁 赤岗片区 电梯 采光好,景致花园    -  赤岗 ,205,"37,341元/平",2022/4/30
112,2室1厅,77.68平米,东,简装,高楼层(共25层),2004年建,塔楼,东璟高层两房 可望公园&江景 户型通风实用 看房方便,东璟花园    -  员村 ,540,"69,516元/平",2022/4/30
113,3室2厅,125.25平米,南,精装,低楼层(共27层) ,,塔楼,东南向看河 精装3房2卫 格局方正 采光好,天马河壹号    -  秀全街 ,203,"16,208元/平",2022/4/30
114,2室1厅,76.89平米,西南,简装,低楼层(共11层),2000年建,塔楼,老人的健康休闲居所 儿童的游玩天地 年轻人的幸福之家,光大花园    -  工业大道北 ,497,"64,638元/平",2022/4/30
115,4室1厅,162平米,西,简装,中楼层(共25层),2009年建,塔楼,锦绣半岛西区 4室1厅 西,锦绣半岛西区    -  南浦 ,398,"24,568元/平",2022/4/30
116,3室1厅,69.64平米,南,精装,高楼层(共5层) ,,板楼,精装三房 户型方正 南北通 大阳台,环城东路    -  市桥 ,148,"21,253元/平",2022/4/30
117,1室1厅,22.99平米,东南,简装,低楼层(共9层) ,,塔楼,房子满五年唯一，临江小户型，总*低，小区管理,听涛雅苑    -  滨江东 ,110,"47,847元/平",2022/4/30
118,2室1厅,51.94平米,南 北,其他,低楼层(共6层),1980年建,板楼,此房房改房，小区管理，南北通透，2楼带平台，环境好,东园新村    -  东山口 ,418,"80,478元/平",2022/4/30
119,3室1厅,69.81平米,西南,其他,高楼层(共8层) ,,塔楼,光塔路 3室1厅 西南,光塔路    -  西门口 ,227,"32,517元/平",2022/4/30
120,3室1厅,85.8平米,南,精装,中楼层(共7层) ,,板楼,大东路 实用3房 框架结构 装修保养新即可入住,大东路    -  市桥 ,142,"16,551元/平",2022/4/30
121,1室1厅,37.08平米,东,简装,9层,2006年建,塔楼,楼龄新小区 满五年 南向刚需户型 上车盘 配套成熟,橡树园    -  沙太南 ,172,"46,387元/平",2022/4/30
122,3室1厅,67.73平米,南,其他,中楼层(共8层),1995年建,塔楼,海珠中路 低楼层精装修三房 小院管理,海珠中路    -  西门口 ,258,"38,093元/平",2022/4/30
123,3室2厅,94.08平米,东南,精装,低楼层(共15层),2017年建,塔楼,热橙花园 3房带主套 看花园全景 带装修 看房方便,雅居乐万科热橙    -  花山镇 ,139,"14,775元/平",2022/4/30
124,2室1厅,73.09平米,南,精装,9层,1998年建,塔楼,金雅苑 电梯东南向两房，带天台花园，使用率89.96%,金雅苑    -  滨江东 ,438,"59,927元/平",2022/4/30
125,3室1厅,62.98平米,南,精装,中楼层(共9层),1998年建,塔楼,南向三房  满五 采光通风好 户型方正 适合刚需,汇美西苑    -  同德围 ,180,"28,581元/平",2022/4/30
126,3室1厅,67.9平米,东北,简装,高楼层(共7层) ,,板楼,八一三房 大院管理 框架 阳光充足 居住宁静 格局方正,达道路    -  东山口 ,426,"62,740元/平",2022/4/30
127,2室1厅,83.12平米,东,精装,低楼层(共31层),1994年建,塔楼,富信广场  近广州东站 满五唯一  采光视野好 诚心放卖,富信广场    -  林和 ,299,"35,973元/平",2022/4/30
128,3室2厅,83.38平米,东北,精装,中楼层(共32层),2018年建,塔楼,绿湖三期刚需小三房 中楼层 户型方正 精装修 采光好,广州敏捷绿湖首府三期    -  石滩镇 ,89,"10,675元/平",2022/4/30
129,2室1厅,62.53平米,西南,精装,低楼层(共12层),1997年建,塔楼,东鹏二期 满五唯一 原装电梯 带平台 户型方正实用两房,东鹏花园二期    -  坑口 ,215,"34,384元/平",2022/4/30
130,2室2厅,69.2平米,北,简装,低楼层(共7层),1999年建,塔楼,洛湖居 低楼层两房 过五唯一  税费少,芳华花园洛湖居    -  洛溪 ,199,"28,758元/平",2022/4/30
131,3室2厅,97.08平米,南,简装,9层,1999年建,板塔结合,温馨三房双阳台南向安静出行便捷已完成微改造环境优美,金富苑    -  天润路 ,530,"54,595元/平",2022/4/30
132,3室2厅,122.57平米,东南,简装,中楼层(共12层),1999年建,塔楼,急卖，低至11000一个方，东南向高层电梯三房，,明珠花园(南沙区)    -  金洲 ,132,"10,770元/平",2022/4/30
133,2室2厅,55.87平米,西,简装,低楼层(共9层) ,,塔楼,越秀南团一大、加装电梯平层、实用两房、过五年,越秀南路    -  越秀南 ,240,"42,957元/平",2022/4/30
134,2室1厅,64.15平米,南 北,简装,高楼层(共9层),1994年建,板楼,随时可看，电梯两房，地铁10号线，安静舒适，南北对流,江怡路    -  滨江东 ,256,"39,907元/平",2022/4/30
135,3室1厅,69.93平米,东北,精装,中楼层(共34层),2017年建,塔楼,万科里享家 3室1厅 东北,万科里享家    -  科学城 ,169,"24,168元/平",2022/4/30
136,3室1厅,80.1平米,东 南 北,简装,中楼层(共8层) ,,塔楼,中层三房 东南北三面单边 户型方正 有位置加装电梯,大沙头路    -  东湖 ,350,"43,696元/平",2022/4/30
137,4室1厅,68.12平米,东南,精装,中楼层(共8层),1995年建,塔楼,鸿运花园 4室1厅 东南,鸿运花园    -  赤岗 ,300,"44,040元/平",2022/4/30
138,3室2厅,91.69平米,南 北,精装,中楼层(共8层) ,,塔楼,此房满五年，税费少，南北对流，低楼层视野好,松园大道    -  旧区 ,102,"11,125元/平",2022/4/30
139,3室2厅,89.66平米,南,精装,低楼层(共18层) ,,塔楼,碧桂园豪园荔山苑3房2厅。。。。。。。。。。。。,碧桂园豪园荔山苑    -  增城碧桂园 ,127,"14,165元/平",2022/4/30
140,2室1厅,54.36平米,东北,简装,低楼层(共12层),1998年建,塔楼,江南西商圈 地铁500米 小区管理 菩小 原装电梯 户型好,江南苑    -  工业大道北 ,269.9,"49,651元/平",2022/4/30
141,3室2厅,93.09平米,南 北,简装,低楼层(共18层),2008年建,塔楼,尚东尚筑 南北对流户型 小区中间位置 包车位,尚东尚筑    -  番禺客运站 ,338,"36,309元/平",2022/4/30
142,3室2厅,91平米,南 北,精装,中楼层(共6层) ,,塔楼,秀全大道 位于花城路地铁站 花园小区 停车便利 低层,秀全大道    -  旧区 ,98,"10,770元/平",2022/4/30
